time,RegionName,value
2009-09-01,77840,143200.0
2009-09-01,78748,186100.0
2009-09-01,78626,151700.0
2009-09-01,37129,148800.0
2009-09-01,43214,200300.0
2009-09-01,80910,130900.0
2009-09-01,70663,104800.0
2009-09-01,78728,177800.0
2009-09-01,75287,235000.0
2009-09-01,58078,169200.0
2009-09-01,76108,108000.0
2009-10-01,99301,134300.0
2009-10-01,76051,224500.0
2009-10-01,78210,70000.0
2009-10-01,76039,150400.0
2009-10-01,75028,223300.0
2009-10-01,15217,210600.0
2009-10-01,75035,237700.0
2009-10-01,2453,378500.0
2009-10-01,78602,122600.0
2009-10-01,76116,124300.0
2009-10-01,76021,169700.0
2009-10-01,75019,273800.0
2009-10-01,76040,142900.0
2009-10-01,43221,220000.0
2009-10-01,77840,143800.0
2009-10-01,78748,186200.0
2009-10-01,78626,151100.0
2009-10-01,37129,148500.0
2009-10-01,43214,200600.0
2009-10-01,80910,131000.0
2009-10-01,70663,103700.0
2009-10-01,78728,177700.0
2009-10-01,75287,235900.0
2009-10-01,58078,170000.0
2009-10-01,76108,108600.0
2009-11-01,99301,135700.0
2009-11-01,76051,225900.0
2009-11-01,78210,70100.0
2009-11-01,76039,150700.0
2009-11-01,75028,224300.0
2009-11-01,15217,210300.0
2009-11-01,75035,238400.0
2009-11-01,2453,379500.0
2009-11-01,78602,123300.0
2009-11-01,76116,124800.0
2009-11-01,76021,170100.0
2009-11-01,75019,273000.0
2009-11-01,76040,143300.0
2009-11-01,43221,219700.0
2009-11-01,77840,144300.0
2009-11-01,78748,186300.0
2009-11-01,78626,150600.0
2009-11-01,37129,148300.0
2009-11-01,43214,200700.0
2009-11-01,80910,131100.0
2009-11-01,70663,102700.0
2009-11-01,78728,177600.0
2009-11-01,75287,236900.0
2009-11-01,58078,170400.0
2009-11-01,76108,109100.0
2009-12-01,99301,137000.0
2009-12-01,76051,226900.0
2009-12-01,78210,70700.0
2009-12-01,76039,150800.0
2009-12-01,75028,225300.0
2009-12-01,15217,210400.0
2009-12-01,75035,238900.0
2009-12-01,2453,381000.0
2009-12-01,78602,124200.0
2009-12-01,76116,124500.0
2009-12-01,76021,170300.0
2009-12-01,75019,272300.0
2009-12-01,76040,143400.0
